Date,Area,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,other
2008/4/15,14_ota,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
2008/4/22,14_ota,0.1,0.1,0.3,1.3,1.8,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5
2008/4/25,14_ota,0,0,0,0.1,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
2008/4/28,14_ota,0,0.1,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,3.3
2008/5/2,14_ota,0,0.2,0,0.1,0.3,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2008/5/6,14_ota,0,0.6,0,0.6,0.6,0.6,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1.6
2008/5/8,14_ota,0,0.3,0.7,0.3,0.1,0.5,0.8,0.4,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,7.1
2008/5/10,14_ota,0.1,0.1,0.5,0.8,0.6,0.3,0.4,1,0.4,0.5,0.5,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,8.6
2008/5/12,14_ota,0,0.1,0.1,0.4,0.4,0.3,0.3,0.4,0.6,0.3,0.1,0.1,0.1,0,0.2,0,0,0,0,0,0,0,2.9
2008/5/14,14_ota,0,0.2,0.1,0.4,0.2,0.3,0.7,0.4,0.3,0.4,0.5,0.2,0.5,0.2,0,0.1,0,0.1,0,0,0,0,17.5
2008/5/16,14_ota,0.1,0.3,0.1,0.2,0.1,0.1,0.2,0.3,0.4,0.2,0.3,0.2,0,0,0,0.1,0.1,0,0,0,0,0,10.3
2008/5/20,14_ota,0.2,0.1,0.1,0,0,0.1,0,0.1,0.3,0.1,0.4,0.2,0.3,0.4,0.3,0.3,0.5,0.3,0.1,0,0,0,6.3
2008/5/26,14_ota,0,0,0,0.1,0.1,0.4,0.5,0.2,0.2,0.1,0.3,0.2,0.3,0.1,0.3,0.1,0,0.6,0.1,0,0,0,137.2
2009/4/15,14_ota,0,0,0.4,1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8
2009/4/24,14_ota,0,0,0.3,0.2,0,1.2,0.5,0.3,0,0,0.2,0.3,0.2,0,0,0.2,0,0,0,0,0,0,6.7
