Drop_Date,Monitoring_Date,Area,Place,Shell(mm)
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,1.9
2020/5/15,2020/7/1,sample1,lower,2.1
2020/5/15,2020/7/1,sample1,lower,1.1
2020/5/15,2020/7/1,sample1,lower,3.2
2020/5/15,2020/7/1,sample1,lower,1.6
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,3.2
2020/5/15,2020/7/1,sample1,lower,2.1
2020/5/15,2020/7/1,sample1,lower,2.9
2020/5/15,2020/7/1,sample1,lower,2.1
2020/5/15,2020/7/1,sample1,lower,2.3
2020/5/15,2020/7/1,sample1,lower,2.6
2020/5/15,2020/7/1,sample1,lower,2.5
2020/5/15,2020/7/1,sample1,lower,2.9
2020/5/15,2020/7/1,sample1,lower,2.2
2020/5/15,2020/7/1,sample1,lower,2.3
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,0.9
2020/5/15,2020/7/1,sample1,lower,1.5
2020/5/15,2020/7/1,sample1,lower,1
2020/5/15,2020/7/1,sample1,lower,1.9
2020/5/15,2020/7/1,sample1,lower,2.3
2020/5/15,2020/7/1,sample1,lower,2.5
2020/5/15,2020/7/1,sample1,lower,2.2
2020/5/15,2020/7/1,sample1,lower,1.7
2020/5/15,2020/7/1,sample1,lower,1.5
2020/5/15,2020/7/1,sample1,lower,1.1
2020/5/15,2020/7/1,sample1,lower,2.8
2020/5/15,2020/7/1,sample1,lower,3.6
2020/5/15,2020/7/1,sample1,lower,1.8
2020/5/15,2020/7/1,sample1,lower,2.2
2020/5/15,2020/7/1,sample1,lower,1.6
2020/5/15,2020/7/1,sample1,lower,2.9
2020/5/15,2020/7/1,sample1,lower,3.1
2020/5/15,2020/7/1,sample1,lower,2.3
2020/5/15,2020/7/1,sample1,lower,2
2020/5/15,2020/7/1,sample1,lower,1.7
2020/5/15,2020/7/1,sample1,lower,3.1
2020/5/15,2020/7/1,sample1,lower,2.8
2020/5/15,2020/7/1,sample1,lower,2.9
